list-id-none,1,1,4,3,110990,36996,0
list-id-none,1,2,4,6,56229,9371,0
list-id-none,1,4,4,12,62486,5207,0
list-id-none,1,8,4,24,112486,4686,0
list-id-none,1,16,4,48,69955,1457,0
list-id-none,4,1,4,12,125377,10448,0
list-id-none,4,2,4,24,138044,5751,0
list-id-none,4,4,4,48,151428,3154,0
list-id-none,4,8,4,96,144976,1510,0
list-id-none,8,1,4,24,230562,9606,0
list-id-none,8,2,4,48,242039,5042,0
list-id-none,8,4,4,96,211063,2198,0
list-id-none,8,8,4,192,206211,1074,0
list-id-none,12,1,4,36,294735,8187,0
list-id-none,12,4,4,144,1531953,10638,0
list-id-none,12,8,4,288,369236,1282,0
list-id-none,16,1,4,48,448672,9347,0
list-id-none,16,2,4,96,421264,4388,0
